Div Count,Div Height,DNS Lookup Time,TCP Connect Time,Secure Connection Time,Request Time (TTFB),Response Time,Time to DOM Interactive,Time to DOMContentLoaded,Time to DOM Complete,Load Event Duration,Total Page Load Time
1000,1,24,57,39,20,2,206,206,206,0,206
1000,2,0,0,0,18,2,89,89,89,0,89
1000,3,0,0,0,18,2,35,35,39,0,39
1000,4,0,0,0,16,2,34,34,38,0,38
1000,5,0,0,0,20,2,90,90,90,0,90
1000,6,0,0,0,19,2,37,37,41,0,41
1000,7,0,0,0,20,2,38,38,42,0,42
1000,8,0,0,0,20,1,93,93,93,0,93
1000,9,0,0,0,18,1,88,88,88,0,88
1000,10,0,0,0,17,2,35,35,39,0,39
1000,11,0,0,0,59,1,79,79,85,0,85
1000,12,0,0,0,18,2,36,36,41,0,41
1000,13,0,0,0,16,2,85,85,85,0,85
1000,14,0,0,0,18,1,35,35,39,0,40
1000,15,0,0,0,20,1,86,86,86,0,86
1000,16,0,0,0,18,2,37,37,42,0,42
1000,17,0,0,0,17,2,36,36,40,0,40
1000,18,0,0,0,66,2,88,88,93,0,93
1000,19,0,0,0,20,1,87,87,87,0,87
1000,20,0,0,0,16,2,35,35,40,0,40
1000,21,0,0,0,18,2,84,84,84,0,84
1000,22,0,0,0,17,2,35,35,39,0,39
1000,23,0,0,0,20,1,88,88,88,0,88
1000,24,0,0,0,17,1,35,35,39,0,39
1000,25,0,0,0,19,2,39,39,44,0,44
1000,26,0,0,0,63,2,88,88,94,0,94
1000,27,0,0,0,16,2,83,83,83,0,83
1000,28,0,0,0,20,2,91,91,92,0,92
1000,29,0,0,0,18,1,87,87,87,0,87
1000,30,0,0,0,20,1,38,38,43,0,43
1000,31,0,0,0,19,2,37,37,41,0,41
1000,32,0,0,0,18,2,34,34,38,0,38
1000,33,0,0,0,59,2,145,145,145,0,145
1000,34,0,0,0,19,6,91,91,91,0,91
1000,35,0,0,0,18,2,35,35,39,0,39
1100,1,0,0,0,76,2,177,177,178,0,178
1100,2,0,0,0,170,2,279,279,279,0,279
1100,3,0,0,0,110,2,217,217,217,0,217
1100,4,0,0,0,62,2,159,159,159,0,159
1100,5,0,0,0,67,2,164,164,164,0,164
1100,6,0,0,0,68,2,167,167,167,0,168
1100,7,0,0,0,64,2,163,163,163,0,163
1100,8,0,0,0,54,1,147,147,147,0,147
1100,9,0,0,0,72,1,172,172,172,0,172
1100,10,0,0,0,61,1,132,132,132,0,132
1100,11,0,0,0,53,1,146,146,146,0,146
1100,12,0,0,0,56,2,148,148,148,0,148
1100,13,0,0,0,60,2,153,153,153,0,153
1100,14,0,0,0,53,2,75,75,81,0,81
1100,15,0,0,0,53,2,145,145,145,0,145
1100,16,0,0,0,57,1,80,80,87,0,87
1100,17,0,0,0,73,2,168,168,168,0,168
1100,18,0,0,0,58,1,148,148,148,0,148
1100,19,0,0,0,55,1,147,148,148,0,148
1100,20,0,0,0,73,2,169,169,169,0,169
1100,21,0,0,0,58,2,148,148,148,0,148
1100,22,0,0,0,56,2,146,146,146,0,146
1100,23,0,0,0,51,1,137,137,137,0,137
1100,24,0,0,0,58,1,149,149,149,0,149
1100,25,0,0,0,65,2,90,90,97,0,97
1100,26,0,0,0,58,2,149,149,149,0,149
1100,27,0,0,0,63,2,155,155,155,0,155
1100,28,0,0,0,56,2,81,81,87,0,87
1100,29,0,0,0,55,2,143,143,143,0,143
1100,30,0,0,0,54,1,143,143,143,0,143
1100,31,0,0,0,55,1,150,150,150,0,150
1100,32,0,0,0,55,2,76,76,82,0,82
1100,33,0,0,0,55,2,147,147,147,0,147
1100,34,0,0,0,61,2,157,157,157,0,157
1100,35,0,0,0,53,2,76,76,83,0,83
1200,1,0,0,0,55,2,157,157,157,0,157
1200,2,0,0,0,58,1,158,159,159,0,159
1200,3,0,0,0,57,2,160,160,160,0,160
1200,4,0,0,0,88,2,200,200,200,0,200
1200,5,0,0,0,57,1,82,82,89,0,89
1200,6,0,0,0,59,2,84,84,91,0,91
1200,7,0,0,0,59,2,160,160,160,0,160
1200,8,0,0,0,57,2,158,158,158,0,158
1200,9,0,0,0,55,2,153,154,154,0,154
1200,10,0,0,0,58,2,156,156,156,0,156
1200,11,0,0,0,55,2,154,154,154,0,154
1200,12,0,0,0,64,2,173,173,173,0,174
1200,13,0,0,0,65,2,166,166,166,0,166
1200,14,0,0,0,69,2,170,170,171,0,171
1200,15,0,0,0,72,2,171,171,171,0,171
1200,16,0,0,0,57,2,154,154,154,0,154
1200,17,0,0,0,68,2,171,171,171,0,171
1200,18,0,0,0,59,2,154,154,154,0,154
1200,19,0,0,0,57,2,156,156,156,0,156
1200,20,0,0,0,63,2,86,86,92,0,92
1200,21,0,0,0,59,2,153,153,153,0,153
1200,22,0,0,0,52,2,147,147,147,0,147
1200,23,0,0,0,59,2,82,82,89,0,89
1200,24,0,0,0,62,2,85,85,92,0,92
1200,25,0,0,0,58,1,77,77,82,0,82
1200,26,0,0,0,56,2,150,150,150,0,150
1200,27,0,0,0,59,2,159,159,159,0,159
1200,28,0,0,0,60,2,159,159,159,0,159
1200,29,0,0,0,55,2,151,151,151,0,151
1200,30,0,0,0,68,1,163,163,163,0,163
1200,31,0,0,0,55,1,152,152,152,0,152
1200,32,0,0,0,54,2,149,149,149,0,149
1200,33,0,0,0,57,1,152,152,152,0,152
1200,34,0,0,0,56,5,83,83,91,0,91
1200,35,0,0,0,68,2,175,175,175,0,175
1300,1,0,0,0,61,1,169,169,169,0,169
1300,2,0,0,0,55,2,162,162,162,0,162
1300,3,0,0,0,69,1,175,175,175,0,175
1300,4,0,0,0,49,2,160,160,160,0,161
1300,5,0,0,0,56,1,77,77,84,0,84
1300,6,0,0,0,171,1,291,291,291,0,291
1300,7,0,0,0,62,2,160,160,160,0,160
1300,8,0,0,0,170,2,289,289,289,0,289
1300,9,0,0,0,57,2,80,80,87,0,87
1300,10,0,0,0,65,2,163,163,163,0,163
1300,11,0,0,0,69,1,92,92,100,0,100
1300,12,0,0,0,108,2,224,225,225,0,225
1300,13,0,0,0,56,1,126,126,126,0,126
1300,14,0,0,0,54,2,155,155,155,0,155
1300,15,0,0,0,53,1,71,71,76,0,76
1300,16,0,0,0,162,2,279,279,280,0,280
1300,17,0,0,0,72,2,176,177,177,0,177
1300,18,0,0,0,61,2,160,160,160,0,160
1300,19,0,0,0,57,2,157,158,158,0,158
1300,20,0,0,0,58,2,154,154,154,0,154
1300,21,0,0,0,63,2,168,168,168,0,168
1300,22,0,0,0,59,2,153,153,153,0,153
1300,23,0,0,0,58,2,164,164,164,0,164
1300,24,0,0,0,55,2,79,79,87,0,87
1300,25,0,0,0,57,2,155,155,155,0,155
1300,26,0,0,0,59,1,159,159,159,0,159
1300,27,0,0,0,65,2,167,167,167,0,167
1300,28,0,0,0,55,2,78,78,86,0,86
1300,29,0,0,0,52,2,153,153,153,0,153
1300,30,0,0,0,59,2,157,157,157,0,157
1300,31,0,0,0,118,2,230,230,230,0,230
1300,32,0,0,0,78,2,178,178,178,0,178
1300,33,0,0,0,56,2,155,155,155,0,156
1300,34,0,0,0,62,2,161,162,162,0,162
1300,35,0,0,0,59,2,162,162,162,0,162
1400,1,0,0,0,59,3,172,172,172,0,172
1400,2,0,0,0,65,2,182,182,182,0,183
1400,3,0,0,0,63,1,166,166,166,0,167
1400,4,0,0,0,58,2,162,162,162,0,162
1400,5,0,0,0,63,1,83,83,91,0,91
1400,6,0,0,0,54,2,160,160,161,0,161
1400,7,0,0,0,53,2,157,157,157,0,157
1400,8,0,0,0,61,2,172,172,172,0,172
1400,9,0,0,0,53,2,152,152,152,0,152
1400,10,0,0,0,58,1,75,75,81,0,81
1400,11,0,0,0,60,2,176,176,176,0,176
1400,12,0,0,0,68,2,186,186,186,0,186
1400,13,0,0,0,58,1,165,165,165,0,165
1400,14,0,0,0,55,2,165,165,166,0,166
1400,15,0,0,0,54,2,160,160,160,0,160
1400,16,0,0,0,53,2,158,158,158,0,158
1400,17,0,0,0,61,1,171,171,171,0,171
1400,18,0,0,0,54,2,151,151,151,0,151
1400,19,0,0,0,63,2,169,169,169,0,169
